acl 2.2.53-1
acorn 1:6.1.1-1
acpi 1.7-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.32.0-1
alsa-lib 1.1.9-1
alsa-utils 1.1.9-1
aom 1.0.0-1
arandr 0.1.10-3
archlinux-keyring 20190123-2
argon2 20171227-3
aspell 0.60.7rc1-1
at-spi2-atk 2.32.0-1
at-spi2-core 2.32.1-1
atk 2.32-1
attr 2.4.48-1
audit 2.8.4-3
autoconf 2.69-5
automake 1.16.1-1
avahi 0.7+18+g1b5f401-2
bash 5.0.007-1
bc 1.07.1-3
binutils 2.32-1
bison 3.3.2-1
bridge-utils 1.6-3
brotli 1.0.7-1
bzip2 1.0.6-8
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.44-1
ca-certificates-utils 20181109-1
cairo 1.16.0-2
cantarell-fonts 1:0.111-1
code 1.34.0-2
colord 1.4.4-2
compton 6.2-2
confuse 3.2.2-1
containerd 1.2.6-1
coreutils 8.31-1
cracklib 2.9.7-1
cryptsetup 2.1.0-1
curl 7.64.1-2
db 5.3.28-4
dbus 1.12.14-1
dbus-glib 0.110-1
dconf 0.32.0-3
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.184-4
dhcpcd 7.2.1-1
dhcping 1.2-2
dialog 1:1.3_20190211-1
diffutils 3.7-1
dkms 2.5-4
dnssec-anchors 20181003-1
docker 1:18.09.6-1
docker-compose 1.24.0-1
double-conversion 3.1.4-1
e2fsprogs 1.45.1-1
eclipse-common 4.11-1
eclipse-java 4.11-1
efibootmgr 16-1
efivar 37-1
electron 4.1.4-1
enchant 2.2.3-2
eslint 5.16.0-1
expat 2.2.6-1
fakeroot 1.23-1
feh 3.1.3-1
ffmpeg 1:4.1.3-1
fftw 3.3.8-1
file 5.37-1
filesystem 2018.12-2
findutils 4.6.0-4
firefox 67.0-1
flac 1.3.2-2
flex 2.6.4-2
fontconfig 2:2.13.1+12+g5f5ec56-1
freetype2 2.10.0-2
fribidi 1.0.5-1
gawk 4.2.1-2
gc 7.6.8-1
gcc 8.3.0-1
